Order ID,Order Date,Segment,Region,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit
ORD-01466,2024-01-14,Corporate,Volga,Furniture,Chairs,8,113.12,0.2,723.97,90.5
ORD-01825,2024-01-14,Consumer,South,Furniture,Bookcases,2,406.19,0,812.38,243.71
ORD-02532,2024-01-14,Consumer,Central,Furniture,Chairs,4,320.42,0,1281.68,384.5
ORD-02626,2024-01-14,Consumer,Northwest,Furniture,Tables,6,544.51,0.1,2940.35,653.41
ORD-00897,2024-01-15,Corporate,Volga,Technology,Phones,2,498.51,0.3,697.91,-79.77
ORD-01659,2024-01-15,Consumer,South,Office Supplies,Paper,6,25.53,0,153.18,68.93
ORD-02509,2024-01-15,Corporate,Northwest,Furniture,Tables,1,579.78,0,579.78,173.93
ORD-01761,2024-01-16,Corporate,Northwest,Furniture,Storage,5,283.64,0.1,1276.38,283.64
ORD-01970,2024-01-16,Consumer,South,Technology,Phones,7,878.84,0.3,4306.32,-492.15
ORD-02380,2024-01-16,Home Office,Siberia,Office Supplies,Binders,2,19.87,0.2,31.79,9.93
ORD-02395,2024-01-16,Corporate,Central,Furniture,Chairs,2,141.64,0.1,254.95,56.65
ORD-02569,2024-01-16,Consumer,Northwest,Furniture,Storage,7,65.3,0.2,365.68,45.71
ORD-00228,2024-01-17,Consumer,South,Technology,Phones,1,701.8,0,701.8,154.4
ORD-01007,2024-01-17,Corporate,Central,Office Supplies,Paper,7,30.29,0.2,169.62,53.0
ORD-00198,2024-01-18,Home Office,Northwest,Office Supplies,Art,1,38.35,0.1,34.52,13.43
ORD-01026,2024-01-18,Home Office,Central,Furniture,Tables,1,840.68,0,840.68,252.2
ORD-01373,2024-01-18,Corporate,Northwest,Office Supplies,Binders,1,15.38,0.3,10.77,2.31
ORD-02219,2024-01-18,Consumer,Central,Technology,Monitors,8,502.96,0,4023.68,885.21
ORD-02721,2024-01-18,Consumer,Volga,Office Supplies,Pens,3,7.04,0.1,19.01,7.39
ORD-00384,2024-01-19,Consumer,Central,Office Supplies,Binders,6,7.98,0,47.88,21.55
ORD-00547,2024-01-19,Consumer,Central,Furniture,Bookcases,5,179.21,0.3,627.24,0.0
ORD-00903,2024-01-19,Home Office,Northwest,Office Supplies,Art,4,34.57,0.1,124.45,48.4
ORD-01634,2024-01-19,Corporate,Central,Office Supplies,Paper,3,39.72,0,119.16,53.62
ORD-02138,2024-01-19,Corporate,Central,Technology,Accessories,2,63.41,0.3,88.77,-10.15
ORD-02432,2024-01-19,Consumer,Central,Technology,Laptops,1,767.32,0.2,613.86,15.35
ORD-00726,2024-01-20,Corporate,Siberia,Furniture,Tables,4,582.63,0.2,1864.42,233.06
ORD-00819,2024-01-20,Consumer,Northwest,Technology,Monitors,6,160.63,0.1,867.4,115.65
ORD-00825,2024-01-20,Consumer,Northwest,Office Supplies,Paper,3,13.62,0,40.86,18.39
ORD-02393,2024-01-20,Corporate,South,Furniture,Bookcases,3,479.59,0.2,1151.02,143.88
ORD-00720,2024-01-21,Home Office,Northwest,Office Supplies,Pens,7,8.8,0,61.6,27.72
ORD-01456,2024-01-21,Consumer,Central,Office Supplies,Pens,2,17.94,0,35.88,16.15
ORD-01574,2024-01-21,Consumer,Central,Office Supplies,Art,5,12.65,0,63.25,28.46
ORD-01680,2024-01-21,Home Office,South,Technology,Monitors,2,565.08,0.3,791.11,-90.41
ORD-00860,2024-01-22,Consumer,Northwest,Technology,Phones,4,604.54,0,2418.16,532.0
ORD-02437,2024-01-22,Corporate,Central,Furniture,Chairs,7,319.11,0.1,2010.39,446.75
ORD-00222,2024-01-23,Consumer,Central,Office Supplies,Binders,1,15.72,0.1,14.15,5.5
ORD-01260,2024-01-23,Corporate,Central,Office Supplies,Art,8,46.01,0.3,257.66,55.22
ORD-01481,2024-01-23,Consumer,South,Technology,Accessories,8,45.74,0.1,329.33,43.91
ORD-02866,2024-01-23,Home Office,Central,Office Supplies,Binders,7,12.66,0.1,79.76,31.02
ORD-02951,2024-01-23,Consumer,Northwest,Office Supplies,Paper,2,28.32,0.1,50.98,19.83
ORD-00820,2024-01-24,Consumer,Central,Technology,Phones,6,1073.68,0.1,5797.87,773.05
ORD-01078,2024-01-24,Consumer,Central,Office Supplies,Binders,2,22.07,0,44.14,19.86
ORD-01220,2024-01-24,Consumer,Central,Furniture,Chairs,8,149.85,0.1,1078.92,239.76
ORD-01758,2024-01-24,Consumer,Northwest,Office Supplies,Art,2,28.94,0.1,52.09,20.26
ORD-02746,2024-01-24,Consumer,Central,Office Supplies,Pens,3,4.69,0,14.07,6.33
ORD-01686,2024-01-25,Consumer,South,Office Supplies,Paper,2,16.29,0,32.58,14.66
ORD-01976,2024-01-26,Corporate,Central,Technology,Monitors,6,174.98,0.3,734.92,-83.99
ORD-02017,2024-01-26,Consumer,Volga,Furniture,Bookcases,3,447.63,0,1342.89,402.87
ORD-02802,2024-01-26,Home Office,Central,Furniture,Storage,8,65.6,0.2,419.84,52.48
ORD-00929,2024-01-27,Corporate,Northwest,Office Supplies,Pens,4,19.12,0,76.48,34.42
ORD-01768,2024-01-27,Home Office,South,Furniture,Storage,2,242.86,0.2,388.58,48.58
ORD-01779,2024-01-27,Corporate,Northwest,Furniture,Bookcases,6,481.63,0,2889.78,866.93
ORD-00779,2024-01-28,Consumer,Central,Office Supplies,Binders,4,12.59,0,50.36,22.66
ORD-01830,2024-01-28,Consumer,Northwest,Technology,Laptops,8,538.47,0,4307.76,947.71
ORD-02105,2024-01-28,Corporate,South,Furniture,Chairs,2,126.14,0,252.28,75.68
ORD-02649,2024-01-28,Consumer,Central,Furniture,Tables,6,828.88,0.2,3978.62,497.32
ORD-00369,2024-01-29,Corporate,Central,Technology,Laptops,4,1785.67,0.2,5714.14,142.85
ORD-01071,2024-01-29,Home Office,South,Furniture,Chairs,1,254.41,0.2,203.53,25.44
ORD-01127,2024-01-29,Corporate,Volga,Technology,Monitors,3,162.45,0.1,438.61,58.48
ORD-01198,2024-01-29,Home Office,Central,Technology,Laptops,1,510.0,0,510.0,112.2
ORD-01876,2024-01-29,Corporate,Central,Furniture,Chairs,8,219.82,0.2,1406.85,175.86
ORD-02136,2024-01-29,Consumer,Central,Technology,Laptops,7,1494.32,0,10460.24,2301.25
ORD-00089,2024-01-30,Consumer,Central,Office Supplies,Binders,5,18.62,0.1,83.79,32.59
ORD-00751,2024-01-30,Consumer,South,Technology,Monitors,6,555.52,0.1,2999.81,399.98
ORD-01103,2024-01-30,Consumer,Northwest,Furniture,Bookcases,2,191.54,0,383.08,114.92
ORD-01390,2024-01-30,Consumer,Siberia,Office Supplies,Pens,6,8.45,0,50.7,22.82
ORD-01144,2024-01-31,Consumer,Central,Technology,Monitors,4,301.26,0,1205.04,265.11
ORD-01711,2024-01-31,Home Office,Northwest,Furniture,Storage,3,69.12,0.3,145.15,-0.0
ORD-01916,2024-01-31,Home Office,Northwest,Office Supplies,Art,2,45.17,0,90.34,40.65
ORD-02240,2024-01-31,Consumer,Northwest,Furniture,Bookcases,5,199.02,0.3,696.57,0.0
ORD-02551,2024-01-31,Consumer,Northwest,Office Supplies,Art,3,44.77,0,134.31,60.44
ORD-01301,2024-02-01,Home Office,Volga,Furniture,Tables,8,662.75,0,5302.0,1590.6
ORD-01551,2024-02-01,Consumer,Central,Furniture,Tables,1,729.69,0,729.69,218.91
ORD-02458,2024-02-01,Consumer,Central,Technology,Laptops,7,1636.65,0,11456.55,2520.44
ORD-00521,2024-02-02,Corporate,Northwest,Furniture,Chairs,7,70.82,0.2,396.59,49.57
ORD-01342,2024-02-02,Corporate,Northwest,Office Supplies,Pens,8,16.22,0,129.76,58.39
ORD-02137,2024-02-02,Home Office,Northwest,Technology,Monitors,7,138.76,0,971.32,213.69
ORD-02643,2024-02-02,Home Office,Central,Furniture,Tables,6,380.86,0,2285.16,685.55
ORD-02758,2024-02-02,Consumer,Northwest,Furniture,Storage,1,160.51,0,160.51,48.15
ORD-00697,2024-02-03,Corporate,Central,Furniture,Chairs,5,219.49,0,1097.45,329.24
ORD-01834,2024-02-03,Corporate,Northwest,Technology,Accessories,7,137.58,0.1,866.75,115.56
ORD-00347,2024-02-04,Consumer,Central,Technology,Phones,3,366.78,0.1,990.31,132.04
ORD-00741,2024-02-04,Consumer,Central,Technology,Monitors,7,346.12,0.3,1695.99,-193.83
ORD-01617,2024-02-04,Consumer,Volga,Furniture,Bookcases,1,107.74,0.3,75.42,0.0
ORD-02052,2024-02-04,Consumer,South,Technology,Phones,6,666.04,0,3996.24,879.17
ORD-02942,2024-02-04,Consumer,Volga,Office Supplies,Binders,1,23.02,0,23.02,10.36
ORD-00917,2024-02-05,Home Office,Northwest,Furniture,Chairs,3,297.14,0,891.42,267.43
ORD-01272,2024-02-05,Consumer,Volga,Office Supplies,Binders,2,6.6,0.1,11.88,4.62
ORD-02199,2024-02-05,Corporate,Northwest,Office Supplies,Paper,4,22.75,0.1,81.9,31.85
ORD-02213,2024-02-05,Corporate,Central,Technology,Phones,7,398.24,0.1,2508.91,334.52
ORD-00211,2024-02-07,Corporate,Central,Furniture,Storage,5,88.44,0,442.2,132.66
ORD-00638,2024-02-07,Consumer,South,Furniture,Chairs,1,220.21,0,220.21,66.06
ORD-00867,2024-02-07,Home Office,Central,Office Supplies,Art,7,52.88,0,370.16,166.57
ORD-01585,2024-02-07,Consumer,Volga,Office Supplies,Pens,2,17.16,0.1,30.89,12.01
ORD-01911,2024-02-07,Consumer,Central,Office Supplies,Art,3,44.94,0,134.82,60.67
ORD-02053,2024-02-08,Consumer,Northwest,Furniture,Bookcases,3,317.32,0.1,856.76,190.39
ORD-02074,2024-02-08,Home Office,Central,Office Supplies,Paper,6,10.43,0,62.58,28.16
ORD-02351,2024-02-08,Consumer,Volga,Technology,Phones,7,1131.12,0.3,5542.49,-633.43
ORD-00036,2024-02-10,Home Office,Northwest,Technology,Laptops,6,1500.4,0.3,6301.68,-720.19
ORD-01305,2024-02-10,Consumer,Central,Office Supplies,Art,2,30.29,0,60.58,27.26
ORD-01623,2024-02-10,Consumer,Central,Office Supplies,Pens,8,11.7,0,93.6,42.12
ORD-02229,2024-02-10,Home Office,Central,Technology,Monitors,7,272.91,0,1910.37,420.28
ORD-02311,2024-02-10,Home Office,Central,Office Supplies,Paper,4,15.19,0,60.76,27.34
ORD-00812,2024-02-11,Corporate,Northwest,Technology,Accessories,5,148.79,0,743.95,163.67
ORD-01646,2024-02-11,Consumer,Central,Office Supplies,Paper,5,28.03,0.2,112.12,35.04
ORD-01817,2024-02-11,Corporate,Central,Technology,Accessories,7,46.9,0.2,262.64,6.57
ORD-01995,2024-02-11,Consumer,Central,Office Supplies,Binders,7,4.85,0,33.95,15.28
ORD-02512,2024-02-11,Consumer,Northwest,Furniture,Storage,8,212.9,0,1703.2,510.96
ORD-02767,2024-02-11,Corporate,Central,Office Supplies,Paper,6,25.46,0,152.76,68.74
ORD-00146,2024-02-12,Consumer,Central,Office Supplies,Binders,8,10.07,0.1,72.5,28.19
ORD-00997,2024-02-12,Corporate,Central,Office Supplies,Binders,8,7.24,0,57.92,26.06
ORD-01195,2024-02-12,Consumer,Volga,Office Supplies,Binders,5,12.47,0.1,56.12,21.83
ORD-01423,2024-02-12,Home Office,Central,Technology,Laptops,1,1461.4,0.1,1315.26,175.37
ORD-01563,2024-02-12,Consumer,South,Technology,Accessories,2,32.2,0.2,51.52,1.29
ORD-02503,2024-02-12,Home Office,Central,Furniture,Tables,1,456.16,0.1,410.54,91.23
ORD-00512,2024-02-13,Consumer,Central,Office Supplies,Binders,2,11.17,0,22.34,10.05
ORD-00856,2024-02-13,Consumer,Central,Office Supplies,Binders,8,18.25,0.1,131.4,51.1
ORD-01717,2024-02-13,Corporate,Northwest,Office Supplies,Pens,7,6.28,0.1,39.56,15.38
ORD-02508,2024-02-13,Home Office,Siberia,Furniture,Storage,8,235.47,0,1883.76,565.13
ORD-02533,2024-02-13,Consumer,Central,Office Supplies,Art,1,43.16,0,43.16,19.42
ORD-00427,2024-02-14,Corporate,Siberia,Office Supplies,Pens,2,11.25,0,22.5,10.12
ORD-01019,2024-02-14,Corporate,Volga,Technology,Accessories,7,95.95,0,671.65,147.76
ORD-01940,2024-02-14,Consumer,Central,Technology,Monitors,3,145.56,0,436.68,96.07
ORD-02264,2024-02-14,Consumer,Volga,Technology,Accessories,5,56.99,0,284.95,62.69
ORD-01516,2024-02-15,Consumer,Volga,Office Supplies,Pens,8,14.78,0,118.24,53.21
ORD-00773,2024-02-16,Consumer,Central,Furniture,Storage,5,64.57,0,322.85,96.86
ORD-00315,2024-02-17,Consumer,Central,Technology,Monitors,5,535.7,0,2678.5,589.27
ORD-01718,2024-02-17,Home Office,Siberia,Technology,Laptops,1,1139.77,0,1139.77,250.75
ORD-02118,2024-02-17,Home Office,South,Technology,Laptops,4,1829.44,0.1,6585.98,878.13
ORD-00895,2024-02-18,Consumer,Central,Office Supplies,Paper,5,18.67,0.1,84.02,32.68
ORD-01725,2024-02-18,Consumer,Central,Office Supplies,Paper,5,33.12,0.1,149.04,57.96
ORD-01841,2024-02-18,Consumer,Northwest,Technology,Accessories,4,81.42,0.3,227.98,-26.05
ORD-02316,2024-02-18,Consumer,Northwest,Office Supplies,Art,7,11.09,0.2,62.1,19.4
ORD-02789,2024-02-18,Corporate,Central,Office Supplies,Binders,8,9.01,0.2,57.66,18.02
ORD-01038,2024-02-19,Consumer,Northwest,Office Supplies,Paper,5,39.32,0.1,176.94,68.81
ORD-01536,2024-02-19,Consumer,Volga,Technology,Monitors,8,203.48,0,1627.84,358.12
ORD-00106,2024-02-20,Consumer,Volga,Office Supplies,Pens,4,15.96,0.1,57.46,22.35
ORD-01088,2024-02-20,Consumer,Central,Furniture,Bookcases,2,256.92,0.1,462.46,102.77
ORD-01852,2024-02-20,Consumer,Central,Furniture,Tables,3,324.97,0.3,682.44,0.0
ORD-00401,2024-02-21,Home Office,Northwest,Furniture,Storage,4,144.85,0,579.4,173.82
ORD-01121,2024-02-21,Consumer,South,Furniture,Bookcases,3,409.81,0,1229.43,368.83
ORD-01278,2024-02-21,Corporate,Volga,Office Supplies,Pens,5,9.66,0.3,33.81,7.25
ORD-02431,2024-02-21,Consumer,Central,Office Supplies,Paper,6,30.09,0,180.54,81.24
ORD-02938,2024-02-21,Home Office,Volga,Technology,Laptops,2,591.54,0.1,1064.77,141.97
ORD-00074,2024-02-22,Corporate,Central,Office Supplies,Paper,7,33.77,0.1,212.75,82.74
ORD-01593,2024-02-22,Corporate,Northwest,Office Supplies,Art,7,47.44,0.3,232.46,49.82
ORD-02173,2024-02-22,Corporate,Central,Technology,Monitors,2,470.94,0.3,659.32,-75.35
ORD-02270,2024-02-22,Home Office,Northwest,Technology,Accessories,8,129.13,0.3,723.13,-82.64
ORD-00133,2024-02-23,Consumer,South,Office Supplies,Paper,5,28.59,0.1,128.66,50.04
ORD-02083,2024-02-23,Consumer,Volga,Technology,Monitors,5,559.82,0.2,2239.28,55.98
ORD-02448,2024-02-23,Corporate,Central,Technology,Monitors,1,234.58,0,234.58,51.61
ORD-02724,2024-02-23,Consumer,Central,Office Supplies,Binders,8,4.45,0.1,32.04,12.46
ORD-00075,2024-02-24,Consumer,Northwest,Office Supplies,Pens,4,3.53,0,14.12,6.35
ORD-00280,2024-02-24,Consumer,Northwest,Office Supplies,Art,7,15.1,0.1,95.13,36.99
ORD-00544,2024-02-24,Corporate,Volga,Office Supplies,Paper,5,18.6,0.2,74.4,23.25
ORD-01253,2024-02-24,Consumer,Central,Technology,Accessories,6,33.96,0.1,183.38,24.45
ORD-01451,2024-02-24,Consumer,Central,Technology,Accessories,3,42.41,0,127.23,27.99
ORD-00845,2024-02-25,Consumer,Central,Furniture,Tables,8,857.66,0.3,4802.9,0.0
ORD-01163,2024-02-25,Corporate,Volga,Furniture,Storage,4,112.74,0,450.96,135.29
ORD-01264,2024-02-25,Consumer,Central,Technology,Laptops,8,1702.23,0.1,12256.06,1634.14
ORD-01508,2024-02-25,Home Office,Central,Technology,Accessories,1,44.27,0,44.27,9.74
ORD-01954,2024-02-25,Home Office,Central,Technology,Phones,6,665.51,0,3993.06,878.47
ORD-02390,2024-02-25,Consumer,Volga,Office Supplies,Art,1,40.8,0.1,36.72,14.28
ORD-00183,2024-02-26,Home Office,Central,Furniture,Bookcases,6,149.16,0.2,715.97,89.5
ORD-00766,2024-02-26,Corporate,Central,Furniture,Storage,5,64.06,0,320.3,96.09
ORD-01719,2024-02-26,Consumer,Volga,Technology,Monitors,2,310.96,0.3,435.34,-49.76
ORD-00335,2024-02-27,Consumer,Central,Office Supplies,Art,3,26.45,0,79.35,35.71
ORD-02273,2024-02-27,Consumer,South,Furniture,Storage,1,67.5,0.1,60.75,13.5
ORD-00374,2024-02-28,Consumer,Central,Office Supplies,Art,3,42.35,0.2,101.64,31.76
ORD-00624,2024-02-28,Consumer,Siberia,Office Supplies,Binders,2,23.91,0.2,38.26,11.96
ORD-00928,2024-02-28,Home Office,Volga,Office Supplies,Paper,7,5.11,0.2,28.62,8.95
ORD-01384,2024-02-28,Consumer,South,Office Supplies,Pens,5,17.16,0,85.8,38.61
ORD-01989,2024-02-28,Consumer,Northwest,Office Supplies,Binders,8,23.57,0.1,169.7,65.99
ORD-02080,2024-02-28,Corporate,South,Office Supplies,Binders,3,4.23,0,12.69,5.71
ORD-02443,2024-02-28,Consumer,Northwest,Office Supplies,Binders,4,23.21,0,92.84,41.78
ORD-00233,2024-02-29,Consumer,Central,Office Supplies,Binders,5,11.55,0,57.75,25.99
ORD-01159,2024-02-29,Corporate,Central,Technology,Phones,1,504.41,0.3,353.09,-40.35
ORD-02109,2024-02-29,Consumer,Volga,Office Supplies,Binders,1,21.42,0,21.42,9.64
ORD-02810,2024-02-29,Home Office,Central,Office Supplies,Pens,5,3.16,0,15.8,7.11
ORD-02225,2024-03-01,Consumer,Northwest,Furniture,Bookcases,5,211.02,0,1055.1,316.53
ORD-02772,2024-03-01,Home Office,Northwest,Technology,Monitors,4,235.44,0.1,847.58,113.01
ORD-02878,2024-03-01,Corporate,Volga,Technology,Phones,1,879.01,0.1,791.11,105.48
ORD-02904,2024-03-01,Home Office,South,Technology,Monitors,2,331.66,0.2,530.66,13.27
ORD-00223,2024-03-02,Corporate,South,Technology,Monitors,7,135.23,0,946.61,208.25
ORD-01474,2024-03-02,Corporate,Siberia,Office Supplies,Paper,8,28.59,0,228.72,102.92
ORD-01658,2024-03-02,Consumer,Central,Furniture,Tables,5,460.05,0,2300.25,690.08
ORD-02607,2024-03-02,Consumer,Siberia,Technology,Monitors,8,149.46,0.1,1076.11,143.48
ORD-01358,2024-03-03,Consumer,Central,Technology,Accessories,7,65.18,0.3,319.38,-36.5
ORD-01470,2024-03-03,Corporate,Central,Furniture,Chairs,4,119.79,0,479.16,143.75
ORD-01492,2024-03-03,Home Office,South,Technology,Accessories,7,48.51,0.1,305.61,40.75
ORD-01969,2024-03-03,Consumer,Central,Office Supplies,Binders,4,7.81,0,31.24,14.06
ORD-02584,2024-03-03,Consumer,Siberia,Furniture,Bookcases,8,124.2,0.3,695.52,0.0
ORD-00327,2024-03-04,Home Office,South,Office Supplies,Binders,7,7.36,0,51.52,23.18
ORD-02019,2024-03-04,Home Office,Central,Technology,Accessories,8,125.06,0.1,900.43,120.06
ORD-00275,2024-03-05,Corporate,Central,Office Supplies,Binders,4,11.05,0.1,39.78,15.47
ORD-00519,2024-03-05,Corporate,Northwest,Furniture,Storage,8,89.37,0.3,500.47,-0.0
ORD-01740,2024-03-05,Home Office,South,Technology,Monitors,2,361.87,0,723.74,159.22
ORD-02125,2024-03-05,Corporate,Northwest,Technology,Phones,8,665.45,0.1,4791.24,638.83
ORD-02459,2024-03-05,Consumer,Central,Furniture,Chairs,4,187.32,0.2,599.42,74.92
ORD-00054,2024-03-06,Home Office,Northwest,Technology,Monitors,4,319.57,0.3,894.8,-102.26
ORD-00707,2024-03-07,Consumer,Central,Technology,Laptops,7,1392.44,0,9747.08,2144.36
ORD-00865,2024-03-07,Consumer,Central,Furniture,Bookcases,8,289.41,0,2315.28,694.58
ORD-01515,2024-03-07,Consumer,Central,Furniture,Chairs,8,229.12,0.1,1649.66,366.59
ORD-02617,2024-03-07,Consumer,Northwest,Furniture,Bookcases,6,298.65,0.1,1612.71,358.38
ORD-00667,2024-03-08,Consumer,Siberia,Office Supplies,Paper,3,7.81,0,23.43,10.54
ORD-02583,2024-03-08,Corporate,Central,Office Supplies,Art,6,57.94,0.3,243.35,52.15
ORD-00437,2024-03-09,Consumer,South,Technology,Monitors,6,576.74,0,3460.44,761.3
ORD-01317,2024-03-09,Consumer,Northwest,Office Supplies,Paper,1,38.97,0.1,35.07,13.64
ORD-01903,2024-03-09,Consumer,South,Furniture,Tables,5,770.03,0,3850.15,1155.05
ORD-01906,2024-03-09,Consumer,Siberia,Furniture,Tables,5,359.14,0.2,1436.56,179.57
ORD-02348,2024-03-09,Corporate,Central,Technology,Phones,4,316.89,0.1,1140.8,152.1
ORD-00423,2024-03-10,Consumer,South,Technology,Monitors,4,164.13,0,656.52,144.43
ORD-01000,2024-03-10,Consumer,Siberia,Furniture,Chairs,5,116.76,0.2,467.04,58.38
ORD-01045,2024-03-10,Home Office,Siberia,Furniture,Chairs,8,84.19,0,673.52,202.06
ORD-02082,2024-03-10,Consumer,South,Office Supplies,Paper,3,8.18,0,24.54,11.04
ORD-01349,2024-03-11,Home Office,Central,Technology,Laptops,4,1487.25,0,5949.0,1308.78
ORD-02161,2024-03-11,Corporate,Northwest,Technology,Laptops,1,1140.69,0.1,1026.62,136.88
ORD-02713,2024-03-11,Consumer,Central,Office Supplies,Binders,1,12.22,0.1,11.0,4.28
ORD-00922,2024-03-12,Consumer,Central,Furniture,Storage,7,210.18,0,1471.26,441.38
ORD-00298,2024-03-13,Corporate,Central,Technology,Phones,6,392.88,0,2357.28,518.6
ORD-02556,2024-03-14,Corporate,Central,Office Supplies,Pens,2,16.66,0,33.32,14.99
ORD-02662,2024-03-14,Consumer,Central,Furniture,Bookcases,6,351.79,0.1,1899.67,422.15
ORD-00235,2024-03-15,Consumer,Siberia,Office Supplies,Binders,6,13.55,0,81.3,36.58
ORD-00432,2024-03-15,Corporate,Central,Furniture,Bookcases,5,410.49,0.1,1847.2,410.49
ORD-02039,2024-03-15,Consumer,Central,Office Supplies,Paper,7,17.89,0.2,100.18,31.3
ORD-02058,2024-03-15,Home Office,Northwest,Technology,Phones,4,655.97,0.3,1836.72,-209.91
ORD-02740,2024-03-15,Corporate,Volga,Office Supplies,Pens,8,4.25,0,34.0,15.3
ORD-01991,2024-03-16,Corporate,South,Furniture,Chairs,3,352.6,0.1,952.02,211.56
ORD-02730,2024-03-16,Consumer,Northwest,Office Supplies,Paper,6,6.27,0.2,30.1,9.41
